# Windowed IMU NJS Results
# Source: 014 013 2024-07-31 15-02-40.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.777536	0	None	1
1.500	1.000	2.000	1.193485	0	SideToSide	1
2.500	2.000	3.000	1.374376	1	SideToSide	1
3.500	3.000	4.000	0.962575	0	HandLeft	1
4.500	4.000	5.000	1.358427	0	BeginTask	1
5.500	5.000	6.000	3.788511	0	BeginTask	1
6.500	6.000	7.000	13.835355	0	BeginTask	1
7.500	7.000	8.000	1.604754	0	BeginTask	1
8.500	8.000	9.000	0.820872	0	FinishTask	1
9.500	9.000	10.000	0.967743	1	SideToSide	1
10.500	10.000	11.000	2.428833	0	BeginTask	1
11.500	11.000	12.000	5.466544	0	BeginTask	1
12.500	12.000	13.000	2.187732	0	BeginTask	1
13.500	13.000	14.000	9.317843	0	BeginTask	1
14.500	14.000	15.000	1.673950	0	BeginTask	1
15.500	15.000	16.000	1.165115	1	SideToSide	1
16.500	16.000	17.000	1.675197	1	SideToSide	1
17.500	17.000	18.000	1.401600	0	HandRight	1
18.500	18.000	19.000	1.325021	1	SideToSide	1
19.500	19.000	20.000	1.653136	0	HandLeft	1
20.500	20.000	21.000	1.537303	0	BeginTask	1
21.500	21.000	22.000	1.021630	0	BeginTask	1
22.500	22.000	23.000	3.614962	0	BeginTask	1
23.500	23.000	24.000	5.501510	0	BeginTask	1
24.500	24.000	25.000	1.073802	0	FinishTask	1
25.500	25.000	26.000	2.104320	1	SideToSide	1
26.500	26.000	27.000	1.319031	0	HandLeft	1
27.500	27.000	28.000	1.444641	0	BeginTask	1
28.500	28.000	29.000	1.956800	0	BeginTask	1
29.500	29.000	30.000	1.759253	0	BeginTask	1
30.500	30.000	31.000	11.299526	0	BeginTask	1
31.500	31.000	32.000	1.426183	0	FinishTask	1
32.500	32.000	33.000	1.411570	1	SideToSide	1
33.500	33.000	34.000	1.709921	0	HandLeft	1
34.500	34.000	35.000	1.293975	0	BeginTask	1
35.500	35.000	36.000	2.041723	0	BeginTask	1
36.500	36.000	37.000	1.347735	0	BeginTask	1
37.500	37.000	38.000	2.752310	0	BeginTask	1
38.500	38.000	39.000	1.263364	0	BeginTask	1
39.500	39.000	40.000	1.579005	1	SideToSide	1
40.500	40.000	41.000	1.021140	0	HandLeft	1
41.500	41.000	42.000	0.833353	0	BeginTask	1
42.500	42.000	43.000	3.647612	0	BeginTask	1
43.500	43.000	44.000	1.136292	0	BeginTask	1
44.500	44.000	45.000	9.025835	0	BeginTask	1
45.500	45.000	46.000	1.152334	0	FinishTask	1
46.500	46.000	47.000	1.366995	1	SideToSide	1
47.500	47.000	48.000	0.979038	0	HandLeft	1
48.500	48.000	49.000	1.224720	0	BeginTask	1
49.500	49.000	50.000	2.837288	0	BeginTask	1
50.500	50.000	51.000	2.053954	0	BeginTask	1
51.500	51.000	52.000	11.958606	0	BeginTask	1
52.500	52.000	53.000	1.221446	0	FinishTask	1
53.500	53.000	54.000	0.650283	1	SideToSide	1
54.500	54.000	55.000	1.124324	0	HandLeft	1
55.500	55.000	56.000	1.009985	0	BeginTask	1
56.500	56.000	57.000	1.548145	0	BeginTask	1
57.500	57.000	58.000	2.175632	0	BeginTask	1
58.500	58.000	59.000	6.463561	0	BeginTask	1
59.500	59.000	60.000	1.044343	0	FinishTask	1
60.500	60.000	61.000	1.260460	1	SideToSide	1
61.500	61.000	62.000	0.991532	0	HandLeft	1
62.500	62.000	63.000	1.756901	0	BeginTask	1
63.500	63.000	64.000	1.673490	0	BeginTask	1
64.500	64.000	65.000	2.602320	0	BeginTask	1
65.500	65.000	66.000	5.156030	0	BeginTask	1
66.500	66.000	67.000	1.837984	0	BeginTask	1
67.500	67.000	68.000	1.818228	0	FinishTask	1
68.500	68.000	69.000	1.060435	1	SideToSide	1
69.500	69.000	70.000	1.082001	0	HandLeft	1
70.500	70.000	71.000	1.126852	0	BeginTask	1
71.500	71.000	72.000	2.923648	0	BeginTask	1
72.500	72.000	73.000	9.423832	0	BeginTask	1
73.500	73.000	74.000	1.119110	0	BeginTask	1
74.500	74.000	75.000	1.532155	0	FinishTask	1
75.290	75.000	75.580	0.434263	0	FinishTask	1
