# Windowed IMU NJS Results
# Source: 015 013 2024-07-31 15-39-14.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.598242	0	VerticalSip	1
1.500	1.000	2.000	1.130723	0	HandLeft	1
2.500	2.000	3.000	1.300228	0	HandLeft	1
3.500	3.000	4.000	4.087370	0	BeginTask	1
4.500	4.000	5.000	3.374732	0	BeginTask	1
5.500	5.000	6.000	4.940040	0	BeginTask	1
6.500	6.000	7.000	49.150843	0	BeginTask	1
7.500	7.000	8.000	3.799542	0	BeginTask	1
8.500	8.000	9.000	1.113244	1	VerticalSip	1
9.500	9.000	10.000	1.506904	0	HandLeft	1
10.500	10.000	11.000	1.570227	0	BeginTask	1
11.500	11.000	12.000	3.097717	0	BeginTask	1
12.500	12.000	13.000	1.915672	0	BeginTask	1
13.500	13.000	14.000	5.985487	0	BeginTask	1
14.500	14.000	15.000	41.737393	0	BeginTask	1
15.500	15.000	16.000	1.930045	0	BeginTask	1
16.500	16.000	17.000	1.159219	1	VerticalSip	1
17.500	17.000	18.000	0.932351	0	HandLeft	1
18.500	18.000	19.000	1.247283	0	BeginTask	1
19.500	19.000	20.000	4.237476	0	BeginTask	1
20.500	20.000	21.000	2.528785	0	BeginTask	1
21.500	21.000	22.000	3.629506	0	BeginTask	1
22.500	22.000	23.000	7.592319	0	BeginTask	1
23.500	23.000	24.000	1.770688	0	BeginTask	1
24.500	24.000	25.000	0.917840	0	FinishTask	1
25.500	25.000	26.000	1.391552	0	HandLeft	1
26.500	26.000	27.000	2.062176	0	HandLeft	1
27.500	27.000	28.000	3.891004	0	HandLeft	1
28.500	28.000	29.000	2.405460	0	HandLeft	1
29.500	29.000	30.000	6.040686	0	HandLeft	1
30.500	30.000	31.000	3.343459	0	HandLeft	1
31.500	31.000	32.000	0.816668	0	HandLeft	1
32.500	32.000	33.000	1.640770	1	VerticalSip	1
33.500	33.000	34.000	1.106126	0	HandLeft	1
34.500	34.000	35.000	1.566036	0	BeginTask	1
35.500	35.000	36.000	4.260086	0	BeginTask	1
36.500	36.000	37.000	1.519010	0	BeginTask	1
37.500	37.000	38.000	1.857279	0	BeginTask	1
38.500	38.000	39.000	9.683331	0	BeginTask	1
39.500	39.000	40.000	3.242952	0	BeginTask	1
40.500	40.000	41.000	1.658628	0	FinishTask	1
41.500	41.000	42.000	1.234529	0	HandLeft	1
42.500	42.000	43.000	1.088094	0	BeginTask	1
43.500	43.000	44.000	1.935435	0	BeginTask	1
44.500	44.000	45.000	1.851133	0	BeginTask	1
45.500	45.000	46.000	4.614196	0	BeginTask	1
46.500	46.000	47.000	1.870434	0	BeginTask	1
47.500	47.000	48.000	9.061902	0	BeginTask	1
48.500	48.000	49.000	1.118588	0	FinishTask	1
49.500	49.000	50.000	1.832357	1	VerticalSip	1
50.500	50.000	51.000	0.991362	0	BeginTask	1
51.500	51.000	52.000	2.156769	0	BeginTask	1
52.500	52.000	53.000	4.027106	0	BeginTask	1
53.500	53.000	54.000	1.706890	0	BeginTask	1
54.500	54.000	55.000	1.993283	0	BeginTask	1
55.500	55.000	56.000	9.443482	0	BeginTask	1
56.500	56.000	57.000	1.267020	0	BeginTask	1
57.500	57.000	58.000	1.488634	1	VerticalSip	1
58.500	58.000	59.000	1.395825	0	VerticalSip	1
59.500	59.000	60.000	0.898877	0	BeginTask	1
60.500	60.000	61.000	5.217400	0	BeginTask	1
61.500	61.000	62.000	2.747417	0	BeginTask	1
62.500	62.000	63.000	5.178463	0	BeginTask	1
63.500	63.000	64.000	3.437862	0	BeginTask	1
64.500	64.000	65.000	1.528355	0	FinishTask	1
65.500	65.000	66.000	1.342732	1	VerticalSip	1
66.500	66.000	67.000	1.495385	0	HandLeft	1
67.500	67.000	68.000	3.149597	0	BeginTask	1
68.500	68.000	69.000	3.021687	0	BeginTask	1
69.500	69.000	70.000	4.422987	0	BeginTask	1
70.500	70.000	71.000	5.063866	0	BeginTask	1
71.500	71.000	72.000	5.502009	0	BeginTask	1
72.500	72.000	73.000	1.600005	0	FinishTask	1
73.500	73.000	74.000	1.440134	0	HandLeft	1
74.500	74.000	75.000	1.349975	0	FinishTask	1
75.500	75.000	76.000	1.244324	1	VerticalSip	1
76.500	76.000	77.000	1.338050	0	HandLeft	1
77.500	77.000	78.000	0.880289	0	BeginTask	1
78.500	78.000	79.000	1.850009	0	BeginTask	1
79.500	79.000	80.000	1.415753	0	BeginTask	1
80.500	80.000	81.000	4.297013	0	BeginTask	1
81.500	81.000	82.000	23.815484	0	BeginTask	1
82.500	82.000	83.000	7.490749	0	FinishTask	1
83.410	83.000	83.820	0.735109	0	FinishTask	1
