# Windowed IMU NJS Results
# Source: 010 009 2024-04-12 13-11-27.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.010599	0	None	1
1.500	1.000	2.000	1.483995	1	Pour	1
2.500	2.000	3.000	1.188416	0	HandLeft	1
3.500	3.000	4.000	1.401566	0	BeginTask	1
4.500	4.000	5.000	1.378698	0	BeginTask	1
5.500	5.000	6.000	2.606377	0	BeginTask	1
6.500	6.000	7.000	1.971728	0	BeginTask	1
7.500	7.000	8.000	0.432316	0	BeginTask	1
8.500	8.000	9.000	0.639484	0	BeginTask	1
9.500	9.000	10.000	2.235968	0	BeginTask	1
10.500	10.000	11.000	1.388054	0	BeginTask	1
11.500	11.000	12.000	41.497459	0	BeginTask	1
12.500	12.000	13.000	1.123202	0	FinishTask	1
13.500	13.000	14.000	1.168752	1	Pour	1
14.500	14.000	15.000	1.456227	0	HandLeft	1
15.500	15.000	16.000	1.591118	0	BeginTask	1
16.500	16.000	17.000	1.602362	0	BeginTask	1
17.500	17.000	18.000	0.596991	0	BeginTask	1
18.500	18.000	19.000	0.394044	0	BeginTask	1
19.500	19.000	20.000	0.562649	0	BeginTask	1
20.500	20.000	21.000	0.893566	0	BeginTask	1
21.500	21.000	22.000	1.258440	0	BeginTask	1
22.500	22.000	23.000	14.158001	0	BeginTask	1
23.500	23.000	24.000	1.143339	0	FinishTask	1
24.500	24.000	25.000	0.799132	1	Pour	1
25.500	25.000	26.000	1.151341	0	BeginTask	1
26.500	26.000	27.000	2.250594	0	BeginTask	1
27.500	27.000	28.000	1.974793	0	BeginTask	1
28.500	28.000	29.000	0.371941	0	BeginTask	1
29.500	29.000	30.000	0.305961	0	BeginTask	1
30.500	30.000	31.000	0.235680	0	BeginTask	1
31.500	31.000	32.000	2.747642	0	BeginTask	1
32.500	32.000	33.000	21.989625	0	BeginTask	1
33.500	33.000	34.000	1.260538	0	FinishTask	1
34.500	34.000	35.000	0.972076	0	FinishTask	1
35.500	35.000	36.000	1.528714	1	Pour	1
36.500	36.000	37.000	1.433328	0	BeginTask	1
37.500	37.000	38.000	1.046051	0	BeginTask	1
38.500	38.000	39.000	3.185180	0	BeginTask	1
39.500	39.000	40.000	0.902965	0	BeginTask	1
40.500	40.000	41.000	0.476403	0	BeginTask	1
