# Windowed IMU NJS Results
# Source: 010 009 2024-04-12 13-07-06.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.684137	0	None	1
1.500	1.000	2.000	1.632832	0	VerticalSip	1
2.500	2.000	3.000	1.352463	1	VerticalSip	1
3.500	3.000	4.000	1.325671	0	HandLeft	1
4.500	4.000	5.000	1.249041	0	BeginTask	1
5.500	5.000	6.000	2.226054	0	BeginTask	1
6.500	6.000	7.000	1.652947	0	BeginTask	1
7.500	7.000	8.000	2.010763	0	BeginTask	1
8.500	8.000	9.000	2.868683	0	BeginTask	1
9.500	9.000	10.000	1.916702	0	FinishTask	1
10.500	10.000	11.000	0.910391	1	VerticalSip	1
11.500	11.000	12.000	1.649720	1	VerticalSip	1
12.500	12.000	13.000	0.841622	0	BeginTask	1
13.500	13.000	14.000	1.641591	0	BeginTask	1
14.500	14.000	15.000	1.813265	0	BeginTask	1
15.500	15.000	16.000	2.875597	0	BeginTask	1
16.500	16.000	17.000	5.903217	0	BeginTask	1
17.500	17.000	18.000	1.178405	0	BeginTask	1
18.500	18.000	19.000	1.422974	0	FinishTask	1
19.500	19.000	20.000	0.908098	1	VerticalSip	1
20.500	20.000	21.000	1.758351	0	HandLeft	1
21.500	21.000	22.000	1.254728	0	BeginTask	1
22.500	22.000	23.000	1.808922	0	BeginTask	1
23.500	23.000	24.000	3.124334	0	BeginTask	1
24.500	24.000	25.000	3.480568	0	BeginTask	1
25.500	25.000	26.000	7.502421	0	BeginTask	1
26.500	26.000	27.000	2.185817	0	FinishTask	1
27.500	27.000	28.000	1.182872	1	VerticalSip	1
28.500	28.000	29.000	1.023584	0	HandLeft	1
29.500	29.000	30.000	1.434120	0	BeginTask	1
30.500	30.000	31.000	2.106362	0	BeginTask	1
31.500	31.000	32.000	1.275349	0	BeginTask	1
32.500	32.000	33.000	3.306555	0	BeginTask	1
33.500	33.000	34.000	3.538450	0	BeginTask	1
34.500	34.000	35.000	1.321602	0	FinishTask	1
35.500	35.000	36.000	0.922275	1	VerticalSip	1
36.500	36.000	37.000	0.928424	0	HandLeft	1
37.500	37.000	38.000	1.405867	0	BeginTask	1
38.500	38.000	39.000	2.201212	0	BeginTask	1
39.500	39.000	40.000	1.357425	0	BeginTask	1
40.500	40.000	41.000	1.815167	0	BeginTask	1
41.500	41.000	42.000	8.026193	0	BeginTask	1
42.500	42.000	43.000	0.902570	0	FinishTask	1
43.500	43.000	44.000	1.585943	1	VerticalSip	1
44.500	44.000	45.000	0.759855	0	HandLeft	1
45.500	45.000	46.000	1.678726	0	BeginTask	1
46.500	46.000	47.000	3.074665	0	BeginTask	1
47.500	47.000	48.000	1.689140	0	BeginTask	1
48.500	48.000	49.000	1.484705	0	BeginTask	1
49.500	49.000	50.000	3.084675	0	BeginTask	1
50.500	50.000	51.000	1.603012	0	FinishTask	1
51.500	51.000	52.000	1.309326	1	VerticalSip	1
52.500	52.000	53.000	1.040671	0	HandLeft	1
53.500	53.000	54.000	1.277912	0	BeginTask	1
54.500	54.000	55.000	2.612067	0	BeginTask	1
55.500	55.000	56.000	1.662275	0	BeginTask	1
56.500	56.000	57.000	1.787436	0	BeginTask	1
57.500	57.000	58.000	2.135594	0	BeginTask	1
58.500	58.000	59.000	1.309631	0	FinishTask	1
59.500	59.000	60.000	0.717364	1	VerticalSip	1
60.500	60.000	61.000	1.023405	0	HandLeft	1
61.500	61.000	62.000	3.088097	0	BeginTask	1
62.500	62.000	63.000	2.157443	0	BeginTask	1
63.500	63.000	64.000	1.397049	0	BeginTask	1
64.500	64.000	65.000	1.727471	0	BeginTask	1
65.500	65.000	66.000	2.059160	0	BeginTask	1
66.500	66.000	67.000	1.592561	0	FinishTask	1
67.500	67.000	68.000	1.202592	1	VerticalSip	1
68.500	68.000	69.000	1.216232	0	HandLeft	1
69.500	69.000	70.000	3.084121	0	BeginTask	1
70.500	70.000	71.000	1.643692	0	BeginTask	1
71.500	71.000	72.000	1.767486	0	BeginTask	1
72.500	72.000	73.000	2.353654	0	BeginTask	1
73.500	73.000	74.000	0.924820	0	BeginTask	1
74.500	74.000	75.000	1.216573	0	FinishTask	1
75.500	75.000	76.000	2.042014	1	VerticalSip	1
76.500	76.000	77.000	0.777836	0	HandLeft	1
77.500	77.000	78.000	1.489676	0	HandLeft	1
78.500	78.000	79.000	1.140557	0	BeginTask	1
79.500	79.000	80.000	2.897801	0	BeginTask	1
80.500	80.000	81.000	1.697119	0	BeginTask	1
81.500	81.000	82.000	2.780425	0	BeginTask	1
82.500	82.000	83.000	8.285130	0	BeginTask	1
83.500	83.000	84.000	1.678115	0	FinishTask	1
84.230	84.000	84.460	0.311373	0	FinishTask	1
