# Windowed IMU NJS Results
# Source: 007 006 2024-03-20 13-22-13.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.517347	0	None	1
1.500	1.000	2.000	1.951896	0	SideToSide	1
2.500	2.000	3.000	1.415261	1	SideToSide	1
3.500	3.000	4.000	2.507009	0	HandRight	1
4.500	4.000	5.000	2.750636	0	HandRight	1
5.500	5.000	6.000	1.702736	0	BeginTask	1
6.500	6.000	7.000	2.987047	0	BeginTask	1
7.500	7.000	8.000	7.403108	0	BeginTask	1
8.500	8.000	9.000	10.675649	0	BeginTask	1
9.500	9.000	10.000	4.173854	0	BeginTask	1
10.500	10.000	11.000	73.407903	0	FinishTask	1
11.500	11.000	12.000	16.894095	0	FinishTask	1
12.500	12.000	13.000	1.325704	0	FinishTask	1
13.500	13.000	14.000	2.828959	0	FinishTask	1
14.500	14.000	15.000	2.670787	0	FinishTask	1
15.500	15.000	16.000	3.128874	0	FinishTask	1
16.500	16.000	17.000	2.267547	0	FinishTask	1
17.500	17.000	18.000	2.927676	0	FinishTask	1
18.500	18.000	19.000	3.342053	0	FinishTask	1
19.500	19.000	20.000	2.212241	0	FinishTask	1
20.500	20.000	21.000	5.469923	0	FinishTask	1
21.500	21.000	22.000	1.920751	1	SideToSide	1
22.500	22.000	23.000	1.873087	1	SideToSide	1
23.500	23.000	24.000	1.624639	0	Error	1
24.500	24.000	25.000	2.304158	0	Error	1
25.500	25.000	26.000	2.186079	0	Error	1
26.500	26.000	27.000	2.581331	0	Error	1
27.500	27.000	28.000	3.288530	1	SideToSide	1
28.500	28.000	29.000	1.699827	0	HandRight	1
29.500	29.000	30.000	2.234425	0	HandRight	1
30.500	30.000	31.000	2.017962	0	HandRight	1
31.500	31.000	32.000	2.675920	0	BeginTask	1
32.500	32.000	33.000	23.116737	0	BeginTask	1
33.500	33.000	34.000	4.831756	0	BeginTask	1
34.500	34.000	35.000	2.474547	0	BeginTask	1
35.500	35.000	36.000	1.853810	1	SideToSide	1
36.500	36.000	37.000	1.231099	0	HandRight	1
37.500	37.000	38.000	9.668655	0	BeginTask	1
38.500	38.000	39.000	13.782015	0	BeginTask	1
39.500	39.000	40.000	3.382851	0	FinishTask	1
40.500	40.000	41.000	3.484265	1	SideToSide	1
41.500	41.000	42.000	2.023554	0	HandRight	1
42.500	42.000	43.000	1.066537	0	BeginTask	1
43.500	43.000	44.000	13.161502	0	BeginTask	1
44.500	44.000	45.000	5.477218	0	BeginTask	1
45.500	45.000	46.000	1.545551	0	FinishTask	1
46.500	46.000	47.000	3.232086	0	HandRight	1
47.500	47.000	48.000	2.162409	0	BeginTask	1
48.500	48.000	49.000	7.671709	0	BeginTask	1
49.500	49.000	50.000	4.926652	0	BeginTask	1
50.500	50.000	51.000	3.130071	0	BeginTask	1
51.500	51.000	52.000	1.546097	1	SideToSide	1
52.500	52.000	53.000	2.051255	0	HandRight	1
53.500	53.000	54.000	4.672398	0	BeginTask	1
54.500	54.000	55.000	7.682660	0	BeginTask	1
55.500	55.000	56.000	3.307157	0	BeginTask	1
56.500	56.000	57.000	2.744372	0	FinishTask	1
57.500	57.000	58.000	2.330079	0	HandRight	1
58.500	58.000	59.000	2.171638	0	BeginTask	1
59.500	59.000	60.000	11.916711	0	BeginTask	1
60.500	60.000	61.000	5.943029	0	BeginTask	1
61.500	61.000	62.000	1.530921	0	FinishTask	1
62.500	62.000	63.000	2.510881	1	SideToSide	1
63.500	63.000	64.000	2.135734	0	BeginTask	1
64.500	64.000	65.000	9.326644	0	BeginTask	1
65.500	65.000	66.000	7.243342	0	BeginTask	1
66.500	66.000	67.000	4.371671	0	BeginTask	1
67.500	67.000	68.000	2.193960	1	SideToSide	1
68.500	68.000	69.000	2.530810	0	HandRight	1
69.500	69.000	70.000	8.538740	0	BeginTask	1
70.500	70.000	71.000	4.798382	0	BeginTask	1
71.500	71.000	72.000	2.512022	0	BeginTask	1
72.500	72.000	73.000	2.546945	1	SideToSide	1
73.500	73.000	74.000	1.626740	0	HandRight	1
74.500	74.000	75.000	2.091300	0	BeginTask	1
75.500	75.000	76.000	8.822237	0	BeginTask	1
76.500	76.000	77.000	8.383806	0	BeginTask	1
77.500	77.000	78.000	1.664083	0	FinishTask	1
78.500	78.000	79.000	1.744337	1	SideToSide	1
79.500	79.000	80.000	1.438782	0	BeginTask	1
80.500	80.000	81.000	5.424831	0	BeginTask	1
81.500	81.000	82.000	8.725386	0	BeginTask	1
82.500	82.000	83.000	5.286974	0	BeginTask	1
83.500	83.000	84.000	1.251251	0	FinishTask	1
84.500	84.000	85.000	2.807654	0	FinishTask	1
85.500	85.000	86.000	3.372838	0	FinishTask	1
86.460	86.000	86.920	0.952133	0	FinishTask	1
