# Windowed IMU NJS Results
# Source: 015 013 2024-07-31 15-31-23.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	0.844482	0	None	1
1.500	1.000	2.000	1.238578	1	VerticalSip	1
2.500	2.000	3.000	1.733352	0	HandRight	1
3.500	3.000	4.000	0.954715	0	BeginTask	1
4.500	4.000	5.000	6.192613	0	BeginTask	1
5.500	5.000	6.000	4.278485	0	BeginTask	1
6.500	6.000	7.000	79.280117	0	BeginTask	1
7.500	7.000	8.000	5.376367	0	BeginTask	1
8.500	8.000	9.000	1.446914	1	VerticalSip	1
9.500	9.000	10.000	1.328204	1	VerticalSip	1
10.500	10.000	11.000	1.162949	0	BeginTask	1
11.500	11.000	12.000	5.330152	0	BeginTask	1
12.500	12.000	13.000	3.958144	0	BeginTask	1
13.500	13.000	14.000	8.808786	0	BeginTask	1
14.500	14.000	15.000	72.346192	0	BeginTask	1
15.500	15.000	16.000	1.267843	0	FinishTask	1
16.500	16.000	17.000	0.807571	1	VerticalSip	1
17.500	17.000	18.000	0.970908	0	BeginTask	1
18.500	18.000	19.000	9.765021	0	BeginTask	1
19.500	19.000	20.000	2.433922	0	BeginTask	1
20.500	20.000	21.000	5.034876	0	BeginTask	1
21.500	21.000	22.000	1.047844	0	BeginTask	1
22.500	22.000	23.000	1.476607	0	FinishTask	1
23.500	23.000	24.000	0.868456	0	HandRight	1
24.500	24.000	25.000	1.283135	0	BeginTask	1
25.500	25.000	26.000	4.425125	0	BeginTask	1
26.500	26.000	27.000	4.397442	0	BeginTask	1
27.500	27.000	28.000	3.984197	0	BeginTask	1
28.500	28.000	29.000	14.427110	0	BeginTask	1
29.500	29.000	30.000	1.453702	0	FinishTask	1
30.500	30.000	31.000	1.396589	1	VerticalSip	1
31.500	31.000	32.000	1.316386	0	BeginTask	1
32.500	32.000	33.000	2.046308	0	BeginTask	1
33.500	33.000	34.000	5.013225	0	BeginTask	1
34.500	34.000	35.000	3.076467	0	BeginTask	1
35.500	35.000	36.000	7.422461	0	BeginTask	1
36.500	36.000	37.000	20.091812	0	BeginTask	1
37.500	37.000	38.000	1.509501	0	FinishTask	1
38.500	38.000	39.000	1.007714	0	HandRight	1
39.500	39.000	40.000	1.877339	0	BeginTask	1
40.500	40.000	41.000	8.984017	0	BeginTask	1
41.500	41.000	42.000	2.129044	0	BeginTask	1
42.500	42.000	43.000	5.239321	0	BeginTask	1
43.500	43.000	44.000	10.703792	0	BeginTask	1
44.500	44.000	45.000	2.193614	0	VerticalSip	1
45.500	45.000	46.000	0.916170	0	HandRight	1
46.500	46.000	47.000	0.847962	0	BeginTask	1
47.500	47.000	48.000	6.031508	0	BeginTask	1
48.500	48.000	49.000	3.182276	0	BeginTask	1
49.500	49.000	50.000	69.469177	0	BeginTask	1
50.500	50.000	51.000	1.864931	0	BeginTask	1
51.500	51.000	52.000	0.638466	0	FinishTask	1
52.500	52.000	53.000	1.263629	0	HandRight	1
53.500	53.000	54.000	1.411400	0	BeginTask	1
54.500	54.000	55.000	4.153714	0	BeginTask	1
55.500	55.000	56.000	1.987649	0	BeginTask	1
56.500	56.000	57.000	2.567256	0	BeginTask	1
57.500	57.000	58.000	6.905349	0	BeginTask	1
58.500	58.000	59.000	1.490436	0	FinishTask	1
59.500	59.000	60.000	1.400711	1	VerticalSip	1
60.500	60.000	61.000	0.867809	0	HandRight	1
61.500	61.000	62.000	4.840517	0	BeginTask	1
62.500	62.000	63.000	3.165209	0	BeginTask	1
63.500	63.000	64.000	4.441415	0	BeginTask	1
64.500	64.000	65.000	40.714280	0	BeginTask	1
65.500	65.000	66.000	4.849476	0	FinishTask	1
66.500	66.000	67.000	0.605651	1	VerticalSip	1
67.500	67.000	68.000	1.696452	0	HandRight	1
68.500	68.000	69.000	1.008640	0	BeginTask	1
69.500	69.000	70.000	4.876813	0	BeginTask	1
70.500	70.000	71.000	2.904725	0	BeginTask	1
71.500	71.000	72.000	4.356350	0	BeginTask	1
72.500	72.000	73.000	9.561526	0	BeginTask	1
73.500	73.000	74.000	1.360919	0	FinishTask	1
74.070	74.000	74.140	0.005186	0	FinishTask	1
