# Windowed IMU NJS Results
# Source: 009 008 2024-03-29 14-37-35.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.222499	0	None	1
1.500	1.000	2.000	2.879194	1	SideToSide	1
2.500	2.000	3.000	2.353652	0	HandLeft	1
3.500	3.000	4.000	2.760363	0	HandLeft	1
4.500	4.000	5.000	1.654783	0	BeginTask	1
5.500	5.000	6.000	4.825021	0	BeginTask	1
6.500	6.000	7.000	7.344298	0	BeginTask	1
7.500	7.000	8.000	2.105592	0	BeginTask	1
8.500	8.000	9.000	1.404171	0	FinishTask	1
9.500	9.000	10.000	1.437220	1	SideToSide	1
10.500	10.000	11.000	2.691743	0	HandLeft	1
11.500	11.000	12.000	2.784141	0	BeginTask	1
12.500	12.000	13.000	4.035382	0	BeginTask	1
13.500	13.000	14.000	25.113463	0	BeginTask	1
14.500	14.000	15.000	1.519491	0	FinishTask	1
15.500	15.000	16.000	2.741080	1	SideToSide	1
16.500	16.000	17.000	2.070737	0	HandLeft	1
17.500	17.000	18.000	2.280696	0	BeginTask	1
18.500	18.000	19.000	3.106749	0	BeginTask	1
19.500	19.000	20.000	3.517772	0	BeginTask	1
20.500	20.000	21.000	19.684827	0	BeginTask	1
21.500	21.000	22.000	1.551215	0	FinishTask	1
22.500	22.000	23.000	2.134481	1	SideToSide	1
23.500	23.000	24.000	1.586566	0	BeginTask	1
24.500	24.000	25.000	5.537845	0	BeginTask	1
25.500	25.000	26.000	11.008985	0	BeginTask	1
26.500	26.000	27.000	2.790007	0	BeginTask	1
27.500	27.000	28.000	2.123119	0	FinishTask	1
28.500	28.000	29.000	1.462762	1	SideToSide	1
29.500	29.000	30.000	1.172330	0	HandLeft	1
30.500	30.000	31.000	3.453018	0	BeginTask	1
31.500	31.000	32.000	2.947897	0	BeginTask	1
32.500	32.000	33.000	3.898322	0	BeginTask	1
33.500	33.000	34.000	1.900476	0	FinishTask	1
34.500	34.000	35.000	1.143961	1	SideToSide	1
35.500	35.000	36.000	1.910899	0	HandLeft	1
36.500	36.000	37.000	3.701048	0	BeginTask	1
37.500	37.000	38.000	4.137286	0	BeginTask	1
38.500	38.000	39.000	23.782151	0	BeginTask	1
39.500	39.000	40.000	2.175254	0	FinishTask	1
40.500	40.000	41.000	2.364886	1	SideToSide	1
41.500	41.000	42.000	1.500615	0	HandLeft	1
42.500	42.000	43.000	3.638472	0	BeginTask	1
43.500	43.000	44.000	3.032970	0	BeginTask	1
44.500	44.000	45.000	16.210413	0	BeginTask	1
45.500	45.000	46.000	1.755846	0	FinishTask	1
46.500	46.000	47.000	1.441749	1	SideToSide	1
47.500	47.000	48.000	1.953636	0	HandLeft	1
48.500	48.000	49.000	2.790846	0	BeginTask	1
49.500	49.000	50.000	3.060276	0	BeginTask	1
50.500	50.000	51.000	13.232777	0	BeginTask	1
51.500	51.000	52.000	1.168117	0	FinishTask	1
52.500	52.000	53.000	2.500243	1	SideToSide	1
53.500	53.000	54.000	2.282033	0	BeginTask	1
54.500	54.000	55.000	14.356296	0	BeginTask	1
55.500	55.000	56.000	8.477740	0	BeginTask	1
56.500	56.000	57.000	4.093896	0	BeginTask	1
57.500	57.000	58.000	2.033672	0	FinishTask	1
58.500	58.000	59.000	1.878404	1	SideToSide	1
59.500	59.000	60.000	1.617683	0	BeginTask	1
60.500	60.000	61.000	5.254317	0	BeginTask	1
61.500	61.000	62.000	14.976720	0	BeginTask	1
62.500	62.000	63.000	2.359931	0	BeginTask	1
63.380	63.000	63.760	1.289864	0	FinishTask	1
