# Windowed IMU NJS Results
# Source: 002 1 2023-11-9 12-40-12.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.214391	0	None	1
1.500	1.000	2.000	1.158398	1	SideToSide	1
2.500	2.000	3.000	0.908640	1	SideToSide	1
3.500	3.000	4.000	2.043867	0	HandLeft	1
4.500	4.000	5.000	1.290751	0	BeginTask	1
5.500	5.000	6.000	1.808201	0	BeginTask	1
6.500	6.000	7.000	2.835993	0	BeginTask	1
7.500	7.000	8.000	13.932443	0	BeginTask	1
8.500	8.000	9.000	1.290110	0	BeginTask	1
9.500	9.000	10.000	1.189221	0	FinishTask	1
10.500	10.000	11.000	1.527759	1	SideToSide	1
11.500	11.000	12.000	1.237244	1	SideToSide	1
12.500	12.000	13.000	1.436277	1	SideToSide	1
13.500	13.000	14.000	0.862071	1	SideToSide	1
14.500	14.000	15.000	1.237977	0	HandLeft	1
15.500	15.000	16.000	0.966112	0	HandLeft	1
16.500	16.000	17.000	1.753874	0	HandLeft	1
17.500	17.000	18.000	1.221722	0	HandLeft	1
18.500	18.000	19.000	1.640824	0	BeginTask	1
19.500	19.000	20.000	3.558045	0	BeginTask	1
20.500	20.000	21.000	2.770423	0	BeginTask	1
21.500	21.000	22.000	1.183518	0	BeginTask	1
22.500	22.000	23.000	1.127415	0	FinishTask	1
23.500	23.000	24.000	1.124218	1	SideToSide	1
24.500	24.000	25.000	1.529765	1	SideToSide	1
25.500	25.000	26.000	0.634577	0	HandLeft	1
26.500	26.000	27.000	1.656674	0	BeginTask	1
27.500	27.000	28.000	3.529349	0	BeginTask	1
28.500	28.000	29.000	7.230983	0	BeginTask	1
29.500	29.000	30.000	0.914303	0	BeginTask	1
30.500	30.000	31.000	1.302993	0	FinishTask	1
31.500	31.000	32.000	1.239271	1	SideToSide	1
32.500	32.000	33.000	1.255685	0	HandLeft	1
33.500	33.000	34.000	0.893902	0	BeginTask	1
34.500	34.000	35.000	1.680611	0	BeginTask	1
35.500	35.000	36.000	3.202625	0	BeginTask	1
36.500	36.000	37.000	2.102070	0	BeginTask	1
37.500	37.000	38.000	0.964517	0	FinishTask	1
38.500	38.000	39.000	1.275641	1	SideToSide	1
39.500	39.000	40.000	1.039623	0	HandLeft	1
40.500	40.000	41.000	0.854955	0	BeginTask	1
41.500	41.000	42.000	1.754501	0	BeginTask	1
42.500	42.000	43.000	3.743130	0	BeginTask	1
43.500	43.000	44.000	3.557816	0	BeginTask	1
44.500	44.000	45.000	0.902879	0	FinishTask	1
45.500	45.000	46.000	0.964370	1	SideToSide	1
46.500	46.000	47.000	1.267500	0	HandLeft	1
47.500	47.000	48.000	1.168764	0	BeginTask	1
48.500	48.000	49.000	2.021706	0	BeginTask	1
49.500	49.000	50.000	4.963066	0	BeginTask	1
50.500	50.000	51.000	1.090726	0	BeginTask	1
51.500	51.000	52.000	0.927573	1	SideToSide	1
52.500	52.000	53.000	1.050192	1	SideToSide	1
53.500	53.000	54.000	0.961761	0	BeginTask	1
54.500	54.000	55.000	1.636333	0	BeginTask	1
55.500	55.000	56.000	2.873279	0	BeginTask	1
56.500	56.000	57.000	1.546444	0	BeginTask	1
57.500	57.000	58.000	1.192129	0	FinishTask	1
58.500	58.000	59.000	1.389277	1	SideToSide	1
59.500	59.000	60.000	0.891128	0	HandLeft	1
60.500	60.000	61.000	1.417232	0	BeginTask	1
61.500	61.000	62.000	2.125043	0	BeginTask	1
62.500	62.000	63.000	6.679259	0	BeginTask	1
63.500	63.000	64.000	0.701076	0	BeginTask	1
64.500	64.000	65.000	1.010144	0	FinishTask	1
65.500	65.000	66.000	1.558472	1	SideToSide	1
66.500	66.000	67.000	1.441613	0	HandLeft	1
67.500	67.000	68.000	1.137743	0	BeginTask	1
68.500	68.000	69.000	2.633642	0	BeginTask	1
69.500	69.000	70.000	2.262414	0	BeginTask	1
70.500	70.000	71.000	2.734731	0	BeginTask	1
71.500	71.000	72.000	1.183538	0	FinishTask	1
72.500	72.000	73.000	0.997817	1	SideToSide	1
73.500	73.000	74.000	0.844342	0	HandLeft	1
74.500	74.000	75.000	1.279235	0	BeginTask	1
75.500	75.000	76.000	2.383898	0	BeginTask	1
76.500	76.000	77.000	2.576987	0	BeginTask	1
77.500	77.000	78.000	2.300606	0	BeginTask	1
78.500	78.000	79.000	1.213205	0	FinishTask	1
79.500	79.000	80.000	0.906192	0	FinishTask	1
80.450	80.000	80.900	0.971966	0	FinishTask	1
