# Windowed IMU NJS Results
# Source: 005 005 2024-03-6 13-30-50.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	2.593972	0	VerticalSip	1
1.500	1.000	2.000	2.455591	1	VerticalSip	1
2.500	2.000	3.000	3.387636	0	HandRight	1
3.500	3.000	4.000	2.228928	0	BeginTask	1
4.500	4.000	5.000	9.517555	0	BeginTask	1
5.500	5.000	6.000	18.657534	0	BeginTask	1
6.500	6.000	7.000	13.283146	0	BeginTask	1
7.500	7.000	8.000	2.788122	0	FinishTask	1
8.500	8.000	9.000	1.560165	0	FinishTask	1
9.500	9.000	10.000	2.114983	1	VerticalSip	1
10.500	10.000	11.000	2.238366	0	BeginTask	1
11.500	11.000	12.000	17.582082	0	BeginTask	1
12.500	12.000	13.000	21.289492	0	BeginTask	1
13.500	13.000	14.000	12.557175	0	BeginTask	1
14.500	14.000	15.000	1.744946	0	FinishTask	1
15.500	15.000	16.000	1.117497	1	VerticalSip	1
16.500	16.000	17.000	1.882107	0	HandRight	1
17.500	17.000	18.000	16.476538	0	BeginTask	1
18.500	18.000	19.000	22.344337	0	BeginTask	1
19.500	19.000	20.000	9.174312	0	BeginTask	1
20.500	20.000	21.000	1.958793	0	BeginTask	1
21.500	21.000	22.000	1.953380	0	FinishTask	1
22.500	22.000	23.000	2.719090	0	VerticalSip	1
23.500	23.000	24.000	1.858281	0	BeginTask	1
24.500	24.000	25.000	9.499383	0	BeginTask	1
25.500	25.000	26.000	8.419020	0	BeginTask	1
26.500	26.000	27.000	6.810916	0	BeginTask	1
27.500	27.000	28.000	2.646340	0	BeginTask	1
28.500	28.000	29.000	3.024991	0	VerticalSip	1
29.500	29.000	30.000	2.665119	0	HandRight	1
30.500	30.000	31.000	2.505269	0	BeginTask	1
31.500	31.000	32.000	15.567255	0	BeginTask	1
32.500	32.000	33.000	11.330984	0	BeginTask	1
33.500	33.000	34.000	20.967373	0	BeginTask	1
34.500	34.000	35.000	3.185939	0	BeginTask	1
35.500	35.000	36.000	3.142860	1	VerticalSip	1
36.500	36.000	37.000	2.118427	0	HandRight	1
37.500	37.000	38.000	3.419268	0	BeginTask	1
38.500	38.000	39.000	10.112319	0	BeginTask	1
39.500	39.000	40.000	7.085820	0	BeginTask	1
40.500	40.000	41.000	9.422009	0	BeginTask	1
41.500	41.000	42.000	2.157938	0	BeginTask	1
42.500	42.000	43.000	2.847627	0	HandRight	1
43.500	43.000	44.000	2.620590	0	BeginTask	1
44.500	44.000	45.000	7.894839	0	BeginTask	1
45.500	45.000	46.000	12.059712	0	BeginTask	1
46.500	46.000	47.000	10.082798	0	BeginTask	1
47.500	47.000	48.000	13.079942	0	BeginTask	1
48.500	48.000	49.000	2.251850	0	BeginTask	1
49.500	49.000	50.000	2.636333	0	FinishTask	1
50.500	50.000	51.000	1.993034	0	FinishTask	1
51.500	51.000	52.000	1.474042	1	VerticalSip	1
52.500	52.000	53.000	1.565613	0	HandRight	1
53.500	53.000	54.000	17.088007	0	BeginTask	1
54.500	54.000	55.000	9.146623	0	BeginTask	1
55.500	55.000	56.000	17.472823	0	BeginTask	1
56.500	56.000	57.000	4.974773	0	BeginTask	1
57.500	57.000	58.000	2.570132	0	FinishTask	1
58.500	58.000	59.000	2.505039	1	VerticalSip	1
59.500	59.000	60.000	1.255683	0	HandRight	1
60.500	60.000	61.000	4.296693	0	BeginTask	1
61.500	61.000	62.000	28.394665	0	BeginTask	1
62.500	62.000	63.000	12.255794	0	BeginTask	1
63.500	63.000	64.000	44.070042	0	BeginTask	1
64.500	64.000	65.000	1.560775	0	BeginTask	1
65.500	65.000	66.000	3.195457	0	FinishTask	1
66.500	66.000	67.000	1.659786	1	VerticalSip	1
67.500	67.000	68.000	1.688376	0	HandRight	1
68.500	68.000	69.000	6.427460	0	BeginTask	1
69.500	69.000	70.000	8.936744	0	BeginTask	1
70.500	70.000	71.000	15.816982	0	BeginTask	1
71.500	71.000	72.000	109.728405	0	BeginTask	1
72.500	72.000	73.000	2.334937	0	FinishTask	1
73.500	73.000	74.000	2.508429	0	FinishTask	1
74.260	74.000	74.520	0.652158	0	FinishTask	1
