# Windowed IMU NJS Results
# Source: 005 005 2024-03-6 13-43-12.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	2.953817	0	None	1
1.500	1.000	2.000	2.410285	0	None	1
2.500	2.000	3.000	3.837970	1	VerticalShelf	1
3.500	3.000	4.000	2.817130	0	HandLeft	1
4.500	4.000	5.000	1.801402	0	BeginTask	1
5.500	5.000	6.000	10.860764	0	BeginTask	1
6.500	6.000	7.000	26.286191	0	BeginTask	1
7.500	7.000	8.000	6.637020	0	BeginTask	1
8.500	8.000	9.000	35.160016	0	BeginTask	1
9.500	9.000	10.000	2.053545	0	BeginTask	1
10.500	10.000	11.000	1.369505	0	FinishTask	1
11.500	11.000	12.000	2.508252	0	HandLeft	1
12.500	12.000	13.000	2.904380	0	BeginTask	1
13.500	13.000	14.000	8.886438	0	BeginTask	1
14.500	14.000	15.000	79.554626	0	BeginTask	1
15.500	15.000	16.000	9.747636	0	BeginTask	1
16.500	16.000	17.000	4.252195	0	BeginTask	1
17.500	17.000	18.000	3.167596	0	BeginTask	1
18.500	18.000	19.000	2.153902	0	FinishTask	1
19.500	19.000	20.000	1.629795	1	VerticalShelf	1
20.500	20.000	21.000	1.711751	0	HandLeft	1
21.500	21.000	22.000	4.328490	0	BeginTask	1
22.500	22.000	23.000	90.744030	0	BeginTask	1
23.500	23.000	24.000	11.594038	0	BeginTask	1
24.500	24.000	25.000	8.626658	0	BeginTask	1
25.500	25.000	26.000	4.832047	0	BeginTask	1
26.500	26.000	27.000	2.279258	0	FinishTask	1
27.500	27.000	28.000	3.059016	1	VerticalShelf	1
28.500	28.000	29.000	1.875189	0	HandLeft	1
29.500	29.000	30.000	4.022008	0	BeginTask	1
30.500	30.000	31.000	8.304179	0	BeginTask	1
31.500	31.000	32.000	57.456111	0	BeginTask	1
32.500	32.000	33.000	10.815860	0	BeginTask	1
33.500	33.000	34.000	3.676076	0	BeginTask	1
34.500	34.000	35.000	2.788213	0	BeginTask	1
35.500	35.000	36.000	1.678930	0	FinishTask	1
36.500	36.000	37.000	2.623762	0	HandLeft	1
37.500	37.000	38.000	2.044984	0	BeginTask	1
38.500	38.000	39.000	9.574614	0	BeginTask	1
39.500	39.000	40.000	24.963611	0	BeginTask	1
40.500	40.000	41.000	9.712562	0	BeginTask	1
41.500	41.000	42.000	20.565756	0	BeginTask	1
42.500	42.000	43.000	2.068476	0	BeginTask	1
43.500	43.000	44.000	2.087397	0	FinishTask	1
44.500	44.000	45.000	2.065349	1	VerticalShelf	1
45.500	45.000	46.000	2.052509	0	BeginTask	1
46.500	46.000	47.000	6.115448	0	BeginTask	1
47.500	47.000	48.000	24.343078	0	BeginTask	1
48.500	48.000	49.000	14.445332	0	BeginTask	1
49.500	49.000	50.000	9.336458	0	BeginTask	1
50.500	50.000	51.000	4.490482	0	BeginTask	1
51.500	51.000	52.000	2.513575	0	FinishTask	1
52.500	52.000	53.000	2.037964	1	VerticalShelf	1
53.500	53.000	54.000	2.377633	0	HandLeft	1
54.500	54.000	55.000	2.173789	0	BeginTask	1
55.500	55.000	56.000	12.038201	0	BeginTask	1
56.500	56.000	57.000	80.806294	0	BeginTask	1
57.500	57.000	58.000	7.654425	0	BeginTask	1
58.500	58.000	59.000	11.122352	0	BeginTask	1
59.500	59.000	60.000	3.312124	0	BeginTask	1
60.500	60.000	61.000	2.291604	0	FinishTask	1
61.500	61.000	62.000	2.521112	1	VerticalShelf	1
62.500	62.000	63.000	2.046008	0	BeginTask	1
63.500	63.000	64.000	12.307803	0	BeginTask	1
64.500	64.000	65.000	43.463556	0	BeginTask	1
65.500	65.000	66.000	15.635048	0	BeginTask	1
66.500	66.000	67.000	4.224041	0	BeginTask	1
67.500	67.000	68.000	3.367866	0	BeginTask	1
68.500	68.000	69.000	1.877505	0	FinishTask	1
69.500	69.000	70.000	3.268122	1	VerticalShelf	1
70.500	70.000	71.000	2.693532	0	HandLeft	1
71.500	71.000	72.000	9.956174	0	BeginTask	1
72.500	72.000	73.000	81.105820	0	BeginTask	1
73.500	73.000	74.000	4.005394	0	BeginTask	1
74.500	74.000	75.000	8.260003	0	BeginTask	1
75.500	75.000	76.000	4.463778	0	BeginTask	1
76.500	76.000	77.000	3.793965	0	FinishTask	1
77.500	77.000	78.000	2.266071	1	VerticalShelf	1
78.500	78.000	79.000	2.446312	0	HandLeft	1
79.500	79.000	80.000	2.589739	0	BeginTask	1
80.500	80.000	81.000	5.408374	0	BeginTask	1
81.500	81.000	82.000	3.968592	0	BeginTask	1
82.500	82.000	83.000	16.222335	0	BeginTask	1
83.500	83.000	84.000	11.532919	0	BeginTask	1
84.500	84.000	85.000	4.076184	0	BeginTask	1
85.410	85.000	85.820	1.189498	0	FinishTask	1
