# Windowed IMU NJS Results
# Source: 012 010 2024-04-19 09-09-05.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	2.340361	0	None	1
1.500	1.000	2.000	2.000571	0	None	1
2.500	2.000	3.000	1.179928	0	None	1
3.500	3.000	4.000	2.128044	0	None	1
4.500	4.000	5.000	2.603840	0	None	1
5.500	5.000	6.000	1.170025	0	None	1
6.500	6.000	7.000	3.397355	0	None	1
7.500	7.000	8.000	2.256061	0	None	1
8.500	8.000	9.000	1.175987	0	None	1
9.500	9.000	10.000	1.808970	0	VerticalSip	1
10.500	10.000	11.000	1.496928	1	VerticalSip	1
11.500	11.000	12.000	1.520305	0	HandRight	1
12.500	12.000	13.000	2.315602	0	BeginTask	1
13.500	13.000	14.000	2.525914	0	BeginTask	1
14.500	14.000	15.000	4.461179	0	BeginTask	1
15.500	15.000	16.000	1.372528	0	BeginTask	1
16.500	16.000	17.000	5.569136	0	BeginTask	1
17.500	17.000	18.000	61.686022	0	BeginTask	1
18.500	18.000	19.000	3.028532	0	FinishTask	1
19.500	19.000	20.000	2.217833	1	VerticalSip	1
20.500	20.000	21.000	2.176846	0	HandRight	1
21.500	21.000	22.000	3.483830	0	BeginTask	1
22.500	22.000	23.000	4.490561	0	BeginTask	1
23.500	23.000	24.000	3.539597	0	BeginTask	1
24.500	24.000	25.000	19.571574	0	BeginTask	1
25.500	25.000	26.000	1.681704	0	BeginTask	1
26.500	26.000	27.000	1.734150	0	FinishTask	1
27.500	27.000	28.000	2.223773	0	HandRight	1
28.500	28.000	29.000	1.338025	0	BeginTask	1
29.500	29.000	30.000	3.238630	0	BeginTask	1
30.500	30.000	31.000	2.259166	0	BeginTask	1
31.500	31.000	32.000	7.151381	0	BeginTask	1
32.500	32.000	33.000	9.265781	0	BeginTask	1
33.500	33.000	34.000	2.351846	0	FinishTask	1
34.500	34.000	35.000	2.800998	1	VerticalSip	1
35.500	35.000	36.000	2.041266	0	HandRight	1
36.500	36.000	37.000	2.044483	0	BeginTask	1
37.500	37.000	38.000	4.708571	0	BeginTask	1
38.500	38.000	39.000	1.626213	0	BeginTask	1
39.500	39.000	40.000	63.266506	0	BeginTask	1
40.500	40.000	41.000	34.062112	0	BeginTask	1
41.500	41.000	42.000	3.810326	0	FinishTask	1
42.500	42.000	43.000	1.869285	1	VerticalSip	1
43.500	43.000	44.000	2.391111	0	HandRight	1
44.500	44.000	45.000	1.829032	0	BeginTask	1
45.500	45.000	46.000	5.032017	0	BeginTask	1
46.500	46.000	47.000	3.185590	0	BeginTask	1
47.500	47.000	48.000	51.573344	0	BeginTask	1
48.500	48.000	49.000	4.504910	0	FinishTask	1
49.500	49.000	50.000	3.462214	1	VerticalSip	1
50.500	50.000	51.000	1.724079	1	VerticalSip	1
51.500	51.000	52.000	1.751290	0	BeginTask	1
52.500	52.000	53.000	3.068421	0	BeginTask	1
53.500	53.000	54.000	3.456514	0	BeginTask	1
54.500	54.000	55.000	2.948866	0	BeginTask	1
55.500	55.000	56.000	3.672020	0	BeginTask	1
56.500	56.000	57.000	2.682519	0	FinishTask	1
57.500	57.000	58.000	2.253765	1	VerticalSip	1
58.500	58.000	59.000	2.991961	0	HandRight	1
59.500	59.000	60.000	1.481833	0	BeginTask	1
60.500	60.000	61.000	4.352660	0	BeginTask	1
61.500	61.000	62.000	2.460040	0	BeginTask	1
62.500	62.000	63.000	7.788198	0	BeginTask	1
63.500	63.000	64.000	40.382440	0	BeginTask	1
64.500	64.000	65.000	2.925154	0	FinishTask	1
65.500	65.000	66.000	1.513948	1	VerticalSip	1
66.500	66.000	67.000	2.644666	0	HandRight	1
67.500	67.000	68.000	2.447165	0	BeginTask	1
68.500	68.000	69.000	7.118217	0	BeginTask	1
69.500	69.000	70.000	5.315156	0	BeginTask	1
70.500	70.000	71.000	9.480026	0	BeginTask	1
71.500	71.000	72.000	2.558044	0	FinishTask	1
72.500	72.000	73.000	2.176603	1	VerticalSip	1
73.500	73.000	74.000	2.202565	0	HandRight	1
74.500	74.000	75.000	1.662341	0	BeginTask	1
75.500	75.000	76.000	5.612342	0	BeginTask	1
76.500	76.000	77.000	3.826210	0	BeginTask	1
77.500	77.000	78.000	15.047496	0	BeginTask	1
78.500	78.000	79.000	2.655195	0	FinishTask	1
79.500	79.000	80.000	2.452421	1	VerticalSip	1
80.500	80.000	81.000	1.816873	0	HandRight	1
81.500	81.000	82.000	2.249980	0	BeginTask	1
82.500	82.000	83.000	5.856693	0	BeginTask	1
83.500	83.000	84.000	1.914583	0	BeginTask	1
84.500	84.000	85.000	28.510807	0	BeginTask	1
85.500	85.000	86.000	3.015919	0	BeginTask	1
86.340	86.000	86.680	1.030683	0	FinishTask	1
